tweet,label,sentiment
herh leipzig 😓😓✌️ onyame betua mo ka paaa😹 mmoa💨,negative,0
nkwasia keka ne kasa by heart nkoaaaaa,negative,0
obiaa yale wɔ app yi so 😂😂😂,negative,0
na yagyimi no err,negative,0
eeeiii so psg no win 😭,negative,0
ɛnnyɛ deɛ ehia ni,negative,0
wo team wei nti 3y3 nono,negative,0
mane aa wo se nkrumah,negative,0
bhim bhim national team mo ndi nokware mo b3 br3 saa,negative,0
3de3n asem koraa ni akn bne b3n nkoaa trouble dey sleep your man go wake am,negative,0
tein fo so nah den dem go come chop money too sika di aa and eating girls nkoaa,negative,0
if i start dey gym a anka ago make nice paaa ooh but akwadwirolaziness ne gyimiefoolishnes nti hmm😎,negative,0
wonni nyansa baako mpo sei,negative,0
modeling saa na omo y3 gay 😂💔,negative,0
hei gyai nkurasisem nu na coachella noe be hit gyimiii u dey understand hit song u people di33 everyday biaaa na mu de gyimie nnu su nam mu saaaaa 🤣🤣🤣,negative,0
nana ama pre dudu,negative,0
herh bu adeɛ wati small boy na wɔ ka foo saa no🤣🤣,negative,0
herrr this boy bi gyimi gyimi boy i swear he no dey show remorse seff eeeeeeii pride destroy am paaa oooo,negative,0
u dey run anka wob3te wo sika fiaa s3 trumu nwii baako 😹😹😹😹,negative,0
ah herh vodafone nu them fool anaa,negative,0
like twene jonas said yɛ te krom ha nso gyimie nti nipa nni ahotɔ,negative,0
bayifoɔ ne ho yɛ ne dɛ,negative,0
he is stupid wob3kum trom na woadware sasaduro de3 gyae ma onfa ne mosuo nk,negative,0
eiiiiiii🤣🤣🤣🤣🤣🤣 hrrrrr woa shi anaaaa masa masa masa y3 ab kann3 ny3,negative,0
sua nyansa wai na sesiaa woyɛ celeb,negative,0
makɔbre me moja ani atua me billslight no nso gyina so s3 kurasini ne heels,negative,0
na nsmq nso de3 nanka black stars fa mo ho b3n,negative,0
wama me nsa 3si fm,negative,0
woy3 kwasia paaaa😂😂😂anka wob3n me aa anka wob3di slaps 😂😂😂,negative,0
masa south africa no curse biaa wasa aa wasatsw asamoah gyan twene jonas abedi pele south africa,negative,0
wu diieerrr gyina hor dwaman honhom wu fie fuoo y3 wu aahh wo si mm33rima p3 wu,negative,0
oh bɛrma ahye me tu me girl gyae me koraa me werɛ anho sei me nim nsa nom a nka ɛnɛ mɛboro forkn,negative,0
masa masa3y3 booshit na girl ye re keka ye oo,negative,0
nti vodafone fo k adwuma koraa k y3 de3n network basbasa bi sei😒,negative,0
here too ei arsenal a buei aha nso a booboooo 😜,negative,0
gidigidi no nyinaaa y3 dede 😂💔,negative,0
fa wo gemiii ko,negative,0
nkwasiansem saa na ade3 asa😂😂😂,negative,0
sɛ wagyimi 😂ne kwasia,negative,0
no sugarcoat am nana wo maame ye bayifuo ardee 💯,negative,0
ahnnn eiii so me de3 😏🤒,negative,0
nyame b3 tua mo nyinaaa ka s3 de3 mo ndwuma te3,negative,0
this kantrɛ ankasa nu ɛyɛ joke 😡😡😡😡😡😡,negative,0
menkasa wae mekoraa relationship afono me ate mani so 😉,negative,0
bibini wa gyimie saa wcka kyer3 broni koraa wcn gye di,negative,0
ana de armas man wtf,negative,0
akosua nhyira you mess me up,negative,0
ka wo deɛ bridge no abu agum🤣🤣,negative,0
fa wo gyimii kɔ,negative,0
by wednesday na peter atwa obi aso👂 na thursday nso judas agye sika💰💔😹😹 week wei b3y3 bloody💔,negative,0
akoa yɛ guy guy🤣🤣🤣see walkings bi🤣🤣💔💔💔,negative,0
me yɛ kwasia sɛ wo maame aboa bi ba te sɛ wo,negative,0
me dɔ hruuuuu sɛ girl wei yɛ spec abowa nyame nsa anu yɛ fɛ,negative,0
madam wei paaaaay3 s3 aponkye bini aah 3gu milk mu😍😍😍,negative,0
tugyimi fans adwuma aba oooo,negative,0
nti ne koraa koraa ne sɛn wana forefathers dema sufferings too u want profit from it ahhh na nti wo ankasa what u dey look for,negative,0
wo y3 panin bme paaa,negative,0
de bryne be eye ared paaaa,negative,0
massa gyae gyae na enfa😒,negative,0
sika no ashe 3ka aba,negative,0
aden kuame eugene nu cy3 ninja gaiden anaa cos ei😭,negative,0
sika no ahye sika no ahye,negative,0
ah 💔 na sark no wagyimi anaa,negative,0
charlie wo kraa ad3n aa hoh,negative,0
nti bɔne bɛn paaaa onua,negative,0
obiaa y3 good sterling p3 na wasa,negative,0
na underground artiste nsu anka brezz fa neho b3n,negative,0
buy wig na ti ti fa tari h😎,negative,0
dear santa ɛkyena na yɛɛwo agyenkwa no nanso buronya dua mpo menni bi na wode presents agu aseɛ ama me im so sad🥺,negative,0
significant other fuo nyinaaa tri so 🤣💔,negative,0
tema mayor no be ghanaian 😹 woka ho bi na fuel prices k soro,negative,0
phone na watwa no tataatan saa no,negative,0
sika sem nti hmmm,negative,0
hwɛ gyimifo bi nso when i write twi you guys dont reply 🤣🤣 you cant even write your own language ɔdabɔ nua wo yɛ okisi wɔfaase wai🤣🤣 wo deɛ di makyi mɛ keka nsɛm akyerɛ wo,negative,0
ali di33 nanka date rush fa wo ho b3n wo di33 y3 aponkyi ni odwan,negative,0
theres nothing like clean or dirty money sika biaa yɛ sika hwɛ ɔmo gyimie bi,negative,0
to wit ɔkwasia nɛ ka sɛ yɛ de me yɔnko na yɛ ne me,negative,0
kwasia club baako nso nie 😂,negative,0
fa wo kwasiaa kor,negative,0
mo ngyimi y3 a anka wei nso y3 news,negative,0
arh na gani wie paaa herrr na wie jon ben na womu 😂 me num saaaa na bo 680 am wope ahh do all year mi num 😂,negative,0
gyae gyimie na p3 phone papa,negative,0
bla gyai na ɛbɛjwiri,negative,0
madam madam madam gyaiii saa wai,negative,0
y de beef noh de sweet erh,negative,0
my head no nice koraa😂😂😂,negative,0
heeeeeeeeer 😢😭😭 bibini yɛ wicked roff,negative,0
supporters nso fooo by heart kasa nkoaa,negative,0
champion ade no atete ankasa ɛnyɛ kakra asɛm biaa,negative,0
bibini agyimi aaa ma y3ti suit ni tie yanti hwee biem😂😂😂😂,negative,0
odoi no celebrate sef 😂😂😂 some apapu bi anka he do suiii siiaa 😂😂,negative,0
nurse nii a cy3 bayifo a y3de no ato night shift🤔 nti saa no cb3y3 d3n atu😂😂,negative,0
wo din ne wo honam s3 wodi ohia na 3ka ns3m hunuohia ye forkin ampa,negative,0
prepaid nti woda awia aa won s fan,negative,0
s3 eny3 nsem bi a anka ka nokware s33 chelsea nso y3 team mpo anaa 🙄 🤧🤧🤧 mu sore a dede hunu nkoaa ene mun3 🤣🤣🤣🤣🤣🤣🤣🤣,negative,0
oh ka bi ka ho erh 😂😂🔥💔 he be jon pass,negative,0
man utd nyame b3 tua mu ka paaaaaaaaaa😭😭😭😭😭😭😭,negative,0
na bibini b3y33d3n wo wiase,negative,0
nana di sika no so na wowu aa bank foc b3fa,negative,0
eric zet3p3 nsu dierr anka fa wo ho b3n 😂😂,negative,0
i no dey barb wei bookmark b3n na 3w mu amanfour agyimi oooo,negative,0
mo de3 gyimi sei aaa sei aa na y3mbr3 saa sack that fraud 🙄🙄,negative,0
suro nyimpa atse wayoosi wfr3 no beyie ba obiara nnhu no w krom ha oo odur enyimbir aaa y3 hen w sunsum musnap audiosgt😂,negative,0
dem de vex me fokn,negative,0
nisuo nkoaa na me su ooooo daa k3 daa k3 daa,negative,0
asw3 wagyimie oooo eeiiii mey3m mpo ashi me s3naa ebi didi bi akyi😂😂😂😂😂😂😂 eeiii kweku picaso,negative,0
kwasia yɛnkankyerɛ wo ansa 😂😂😂😂😂,negative,0
wode3 wo se coma mpo 🤣,negative,0
ckaa s3 but naa ne mehuu s3 gyimii naa,negative,0
ei enti valentine nu y3nka ho bi 🤔,negative,0
gyimie nkoaa aka mo,negative,0
mariano diaz no oy3 kwasia anaa,negative,0
mo nam hollywood na mo yɛ photoshoot mmoa,negative,0
masa masa henderson no wasa ooo eiii,negative,0
wotweaaa tomorrow koraa wcn ka,negative,0
use ur father picture as lock screen na wagyimi koraaa dodo 😤😤😤,negative,0
adɛn wone mai no wɔ personal issues anaa beef no asɛ tinapa eiii kwabena sarfo kantanka de asɛm bɛba oo,negative,0
masa masa leave me alone lol ibi me p3 adey support utd,negative,0
see head akoa wei ti so papa ne ti kakra se global warming,negative,0
4 mooooore anaaa wose me ti tes3 kwadu 🤣,negative,0
etua woyonko ho aa etua dua mu heartless leaders nkooaaaa,negative,0
s3 nyame antua nppfour ka koraa anka na onni h,negative,0
akoa yi anim nɛ suu enye fɛ koraa ah,negative,0
shatta movement sanso de omo gyimiii kasa no aba 2021 the fake is the news mmoaa😂😂,negative,0
na houseofficer deɛ utag fa wo ho bɛn unless 🤔,negative,0
ei sake of block i block nard dem remove me eii koti y3 aboa oo 😆,negative,0
focus na gyaigyem33 na b bra,negative,0
herh wo gyimmie anaaaa,negative,0
so griezmann was gonna miss that eii ɛden oo yɛɛblɛ ankasa,negative,0
everyday u dey tweet ashawo season ashawo season nso wogye sika firi wo maame hc na to collectionjon boy😂😂😂,negative,0
eeeiii wo di asem b3ba ooo 😅,negative,0
yes we know 😂 ashawo nkoaa na aka wo,negative,0
saa na ay3 d3n aahh smh 😒😒😒,negative,0
wodea wo wano p3 asem papa,negative,0
wei nso monkor ka nkwasiasem,negative,0
opayin gyae kasa kakra wai na ɛyɛ ayɛ anasesɛm toɔ dodo,negative,0
wudini sei na mo se rip,negative,0
etua woyonko ho aa etua dua mu heartless leaders nkooaaaa,negative,0
masa nti this be the song tswww noise pollution nkoaaa 😂😂,negative,0
wat car papa ama driver a wabn lol wo nantee y3 koraa anka wadu,negative,0
3ka aba fie 🙆‍♂️ sika no ahye 😅,negative,0
this match dea ewuradze boa yɛn wai enya saa dea la wu ooo lawu 🏃🏃🏃🏃🏃🏃🏃🔙,negative,0
hwan nso na ablocki me w suro h no,negative,0
yetse sika so nnso akom di yen the most wicked vibe😭😭,negative,0
herh rockstar gyae gyimie nu wai seb3 wele kontomire too dey kanye west song inside arh,negative,0
will smith yɛ me ba anka bu a mɛ bu nu nerr,negative,0
adwaman nti wo nni ahotɔ 🤣🤣🤣,negative,0
ɛnkwadaa wei deɛ anka omodeɛ ne do switch ne nakeyaat na send me nudes ne touch it ɛfa wo ho bɛn😃,negative,0
herr gyae gyimie no na its early morning aaaah ma num koaraa atɔ,negative,0
wonni vision baako sei,negative,0
eeeiii y u bore so,negative,0
wonni nyansa baako mpo sei,negative,0
ah na girl nu wagyimi anaa,negative,0
😂 3ne mo nn3 wo p3 aboa na wanya no aa,negative,0
sika nti kwasia gyimie be y3 chairman,negative,0
vodafone ne papa nu s3 other networks nu di3 jon fuo nkoaa 🥳,negative,0
hye gu wai na oman no mu ay3 den aa wosee y3n mm3di wo dwa 😂😂,negative,0
woankasa wagyimi nti i wont mind u sia barima gyimifo tese woi dont hav to mind u,negative,0
baako suro ayigbe mafia anaa,negative,0
gay man de33 anka messi ne barcelana fawu hu b3n,negative,0
makɔbre me moja ani atua me billslight no nso gyina so s3 kurasini ne heels,negative,0
te amo kinda difficult lol 😩,negative,0
accra fo ne aho yaa🖕🏼🖕🏼 siato,negative,0
obaa na wode no toto nyame eeeii case nehu oo,negative,0
algeria mmoa double chance k3k3 u spoiled my longbet nkwaseafo nyame na atua mo ka agyimifo,negative,0
jimifuor baako nso nie,negative,0
kofi way3 yawa oh wo team no ay3 beans,negative,0
wu ankasa wu yɛ bayifoɔ bibiaa nyɛ wu fɛ,negative,0
sika nni wo botom a wo ti te sɛ dwan ti,negative,0
wo ti pafoo s3 form 4 nii chop box😭😭,negative,0
wo ho sɛ deɛ yatwe wonsono afa wo yɛm wate jeansman,negative,0
if this proverb was human adwene bne ba nipa ti mu a na ne nyansa so ate nka is,negative,0
sika ho ay3shi 3nti weed y3n passi,negative,0
aniwuo aka nnipa bebree 🤣🤣🤣🤣🤣🤣🤣🤣,negative,0
saa akoa no wagyimi tu,negative,0
😂 😂 me bo efu oo,negative,0
wo nim nyansa nti its far fetched for u,negative,0
lols na i be macho ooo oh hmm,negative,0
wonni sika nso dabiaa wo wc bundleahiafoc mma ne magic 😂😂,negative,0
gyimii saaa ne otan hunu nkoann,negative,0
asem b3n kraaaaa nie oh ama ghana,negative,0
afei koraa deɛ atra me,negative,0
s3 wo maame di33 konko na tua hor aboa ba pii,negative,0
grasshopper mpo na edey bore me 😔kingdomphylum ne de3 ekeka hoo💔😑,negative,0
wo de3 jimie players nkoaaa 😂💔,negative,0
ei nti africa bɛ yɛ yie na this way hmm sɛneɛ yaso ayɛ shi yi nabɛdiɛkyire bawumiaecons lecturer bɛtumi akyerɛ amarketifoɔ ama yɛn nsa akɔ yɛn ano ɛnyɛ saa yɛbɛ sensen ama ɔmo blue no ɛso mba mfasoɔ yie yie yie puie 😘🇦🇲🇬🇭⛈️⛈️⛈️,negative,0
aden na wohw3 nyame anim twa ntr saa,negative,0
eeiii krɔnoo mu flawless victory,negative,0
jack too wey nonsense dis wa titi mi followers nu su sɛy huuaaaah,negative,0
y3 b3 kor nsu na sh3 togo jeans ne getafe jersey mtchweeeee,negative,0
ahhh admin wei wagyimi anaa,negative,0
ei wo ne gyimie 😂,negative,0
mo nti brofo nti mose spanish 😂😂😂,negative,0
ashawofo na 3di valentine,negative,0
aden woakum obi anaa,negative,0
eii dis tym😂 woy3 baifoc anaa 😆,negative,0
nyame betua wo ka siaaaa 😂,negative,0
lol obiaa wosom nyame na wo kasa tantan saa no aw mb,negative,0
wagyimi anaa militao ni alaba kwraa gyi sen,negative,0
bella nso na no y3 kate kate papa 😂😂😂,negative,0
u claim theres no money but delegates are receiving 5000 each y3ti sika so na y3 bl3 yasore afri sika noso mu kyiky3 basa basabasa 😂,negative,0
gyae ns3mhunu n fa wo bad luck k 😒😒😒😒,negative,0
na chilwell no wagyimi anaa🤨,negative,0
ghanaian gyals 3ne gyimii hw3 din bi s3 lee min hoo,negative,0
hw3 nea cckyer3 ne ne nufu nketewa bi mtchew,negative,0
ahbarcelona paaammoa nni sikananso wcp3 top players😂😂😂😂😂,negative,0
gyama wɔ bɔ dam,negative,0
eii bikini nso y3de hy3 underwear ama de33 ly b3n nso nie🙄😤,negative,0
y3te sika so nanso 3km di yen y3te mmaa ho nanso 3tw3 km di yen 😭😭😭,negative,0
nice guy wo brofo basaa y3ka s3 sua ade3 a wodwene s3 y3reya wo,negative,0
wasa wasa wasa boss ne ti awu paaaaa,negative,0
suro nipa mmarima bi nso ny3,negative,0
wo dier wo gyimii nu 😂,negative,0
fa wo tro sorehc saaa na mo nim naaa daaa nkoaa mctwwe,negative,0
pele u wan disgrace me ke3ke3 eii,negative,0
real nigga paa na adwuma adi me sei,negative,0
1 minute biaa na trumu trumu fuo news nso nam mueii me de3 adey move to mars oo cos earth ha de3 nsem 33sisi,negative,0
adwene nay3 adwuma ah body nu br3,negative,0
journalist albert maka ahh maka wontumi nkyere me hweee✌️✌️,negative,0
🙄🙄🙄🙄enti waa de3 wo y3 3nti 3y3,negative,0
nti na information minister wonso wo wc ha no 🙌🤣,negative,0
ahiafoɔ ni nkwasia suggestions diɛ obi sika nanso wu kyere nu diɛ ɔnfa nyɛ,negative,0
philip dier ong ne huŋ y3 me hiŋ tu😂😂😂,negative,0
you baarb😂😂😂😂 tiwuii ne ahantan,negative,0
wadwen soa a 3nnfa nhy3 sam george wai gtfo na wagyimi dodo,negative,0
co ask and nyansa baako se nni mu,negative,0
gyimii ne 3ta nkoaa,negative,0
tsatsu tsikata is the law buh 1 min biaaaa dismissal of his case nam mu 🤣🤣🤣 hes the law now nu atɔ nsuom 90,negative,0
na wo woho bi,negative,0
wo yale oooo eiiii 😂😋,negative,0
min hu so koraa oh,negative,0
lmao wa ha me paa 😩😆😆😩,negative,0
nti wodi3 brofo nu na 3nkyer3 hwee 3ma wo ok😅😅,negative,0
s3 gyimie paa nie nyansa baako p3 mpo sei nni wo tri mu,negative,0
wote ejisu 3pe light masa fa won dede da na ahodwonhyiaeso nyinaa aye sum 🤣🤣😂🤣,negative,0
pochetino nso dierr nanka trophy fa wo ho ben,negative,0
omar sterling en rap saf we dey understand na obibinii apuu 😂,negative,0
ne brfo kraa ny3 me d3 😂😂,negative,0
nanim kasii ne bone straight hmm,negative,0
hwe wo kc ma protest 🤣🤣🤣🤣🤣🤣🤣,negative,0
mo na moo bl3 oo 😂😂😂,negative,0
drama king award ma f3re ama akoa no tu😂😂😂,negative,0
mo na mo bl33 ooh 😅,negative,0
wu y3 wu hu bi,negative,0
gyae gyimie no na sore,negative,0
eiiii wo gyimmie ooo 😂😂😂,negative,0
nyame betua mo ka paa,negative,0
masa gyae na wonyansasem wo fom,negative,0
kwaku anokye ampem nso di3 anka bet fa woho ben 🤣🤣🤣🤣,negative,0
nana nso de3 anka bet fa woho b3n eeei koo bibini,negative,0
me de3 sign player na weii mfa wo ho🌚,negative,0
coach foo baako nso nie 😂😂😂,negative,0
ay3 ka wonna enemys get we ooooo 3ny3 nkwasiafo politicians yiaa anka alatafo nso y3 nipa,negative,0
sunday bia this tl is basabasa mongyae saa,negative,0
3d3n basaa nso nie,negative,0
mɔ nhwɛ asem brofo mpo wɔ ntumi ntwerɛ na akan kasa na wɔ be su hu krakye pɛ koose bi di wae,negative,0
arh dis girl fool paa o arh nuela o s3 whan yi,negative,0
raphinha na ne ho aba dwa saa no,negative,0
eihhhh y3 wia mu ama presec o,negative,0
massa gyae gyimie no na wo nsua,negative,0
wude france tua tua ya so😂,negative,0
wonni sika aa 🤥 wose 3moo 🍚 3nmee ahiafoc ne nkwasia keka,negative,0
wagyae hwɛ nyɛ saa coach no onnim nyansa,negative,0
nyame b3 tua wo ka piii,negative,0
mmaa bi y3 forken papa😒,negative,0
wote ejisu 3pe light masa fa won dede da na ahodwonhyiaeso nyinaa aye sum 🤣🤣😂🤣,negative,0
ama ghana nti ɔman yi ɛbɛ yɛ yie ni🤔,negative,0
gyama bella yi cyale😏,negative,0
😂😂🤣😂🤣🤣herrrhh efiefoc y3nku na yasei wo kwa,negative,0
nti y3nka ho bi anaa☹️,negative,0
he is stupid wob3kum trom na woadware sasaduro de3 gyae ma onfa ne mosuo nk,negative,0
wo y3 gyimiifo woatsi,negative,0
this thing is getting out of hands ghanafoɔ brofo nnyɛ wei diɛ obiaa bɛko bi,negative,0
na portfolio maximization fa hajia bintu ho bɛn pls and pls,negative,0
mo guy guy nyinaa mo hy3 fake wrc kwesi arthur,negative,0
ei asi enti min ka ho bi,negative,0
propaganda nti nipa ni ahutɔ brofu nu nyɛ mi dɛ,negative,0
masa masa wo brofo kroaa ny3 buh u wan create fake account😂,negative,0
ghana de3 y3y3 ahushish3 dodo yare3 wei nso 3bi aba ghana ei😭💔,negative,0
masa ɛyɛ agoro gyae yooo jude too whats up small jogging too he ghost,negative,0
fa wo gyimii k trumu trumu de3 3fa ghanafo ho b3n jon fa k wo krom kenya hon more fire ns3mhunu sei de3 we hate it in ghana let him know,negative,0
sister 57million ne master bedroom wowie aa wasanso aka nkwaseas3m oh ghana nka as3m no w ahenfie nanim nyinaa ahonhono,negative,0
ama de asem beba o,negative,0
ma y3 confuse ooh,negative,0
eii na me what ado 🤦🏽‍♂️😭😭,negative,0
